dataset,object,descriptor,category,time
RippledObjectsDataset,0079,QUICCI,0.005,0.129684947
RippledObjectsDataset,0079,RICI,0.005,0.121769717
RippledObjectsDataset,0079,SI,0.005,0.5105642
RippledObjectsDataset,0080,3DSC,0.005,1.728130505
RippledObjectsDataset,0080,FPFH,0.005,4.223205078
RippledObjectsDataset,0080,QUICCI,0.005,0.023073555
RippledObjectsDataset,0080,RICI,0.005,0.021763916
RippledObjectsDataset,0080,SI,0.005,0.129381298
RippledObjectsDataset,0081,3DSC,0.005,1.56844476
RippledObjectsDataset,0081,FPFH,0.005,1.766775542
RippledObjectsDataset,0081,QUICCI,0.005,0.044089222
RippledObjectsDataset,0081,RICI,0.005,0.073482689
RippledObjectsDataset,0081,SI,0.005,0.20074108
RippledObjectsDataset,0082,3DSC,0.005,1.61448103
RippledObjectsDataset,0082,FPFH,0.005,1.925735438
RippledObjectsDataset,0082,QUICCI,0.005,0.065207099
RippledObjectsDataset,0082,RICI,0.005,0.065925877
RippledObjectsDataset,0082,SI,0.005,0.34629281
RippledObjectsDataset,0083,3DSC,0.005,0.61133162
RippledObjectsDataset,0083,FPFH,0.005,7.525660436
RippledObjectsDataset,0083,QUICCI,0.005,0.150750095
RippledObjectsDataset,0083,RICI,0.005,0.142735133
RippledObjectsDataset,0083,SI,0.005,0.409377891
RippledObjectsDataset,0084,3DSC,0.005,1.151499807
RippledObjectsDataset,0084,FPFH,0.005,7.608703055
RippledObjectsDataset,0084,QUICCI,0.005,0.132531214
RippledObjectsDataset,0084,RICI,0.005,0.134331972
RippledObjectsDataset,0084,SI,0.005,0.435752842
RippledObjectsDataset,0085,3DSC,0.005,2.029338334
RippledObjectsDataset,0085,FPFH,0.005,2.66243171
RippledObjectsDataset,0085,QUICCI,0.005,0.076855745
RippledObjectsDataset,0085,RICI,0.005,0.074964618
RippledObjectsDataset,0085,SI,0.005,0.327439251
RippledObjectsDataset,0086,3DSC,0.005,0.740161398
RippledObjectsDataset,0086,FPFH,0.005,1.882712536
RippledObjectsDataset,0086,QUICCI,0.005,0.043473862
RippledObjectsDataset,0086,RICI,0.005,0.049124306
RippledObjectsDataset,0086,SI,0.005,0.123467374
RippledObjectsDataset,0087,3DSC,0.005,0.545754401
RippledObjectsDataset,0087,FPFH,0.005,1.812458732
RippledObjectsDataset,0087,QUICCI,0.005,0.000580339
RippledObjectsDataset,0087,RICI,0.005,0.0005563
RippledObjectsDataset,0087,SI,0.005,0.019589148
RippledObjectsDataset,0088,3DSC,0.005,2.06954203
RippledObjectsDataset,0088,FPFH,0.005,5.823124583
RippledObjectsDataset,0088,QUICCI,0.005,0.098316332
RippledObjectsDataset,0088,RICI,0.005,0.096610184
RippledObjectsDataset,0088,SI,0.005,0.475752679
RippledObjectsDataset,0089,3DSC,0.005,2.380903379
RippledObjectsDataset,0089,FPFH,0.005,4.62286087
RippledObjectsDataset,0089,QUICCI,0.005,0.113170656
RippledObjectsDataset,0089,RICI,0.005,0.115203374
RippledObjectsDataset,0089,SI,0.005,0.291216141
RippledObjectsDataset,0090,3DSC,0.005,0.933421217
RippledObjectsDataset,0090,FPFH,0.005,2.600918928
RippledObjectsDataset,0090,QUICCI,0.005,0.01877178
RippledObjectsDataset,0090,RICI,0.005,0.018659769
RippledObjectsDataset,0090,SI,0.005,0.051868963
RippledObjectsDataset,0091,3DSC,0.005,1.431294651
RippledObjectsDataset,0091,FPFH,0.005,6.185479806
RippledObjectsDataset,0091,QUICCI,0.005,0.039391107
RippledObjectsDataset,0091,RICI,0.005,0.088872892
RippledObjectsDataset,0091,SI,0.005,0.329215219
RippledObjectsDataset,0092,3DSC,0.005,1.047432421
RippledObjectsDataset,0092,FPFH,0.005,2.519205827
RippledObjectsDataset,0092,QUICCI,0.005,0.04560576
RippledObjectsDataset,0092,RICI,0.005,0.030163897
RippledObjectsDataset,0092,SI,0.005,0.305104935
RippledObjectsDataset,0093,3DSC,0.005,1.629336434
RippledObjectsDataset,0093,FPFH,0.005,1.512326741
