object,descriptor,supportRadius,similarity,tdOne,tdTwo,tSim
0005,RICI,10.000000,0.116950,0.019530,0.093625,0.086274
0005,RICI,50.000000,0.116950,0.017317,0.094153,0.086851
0005,QUICCI,0.050000,0.000000,0.019696,0.100857,0.045828
0005,QUICCI,0.100000,0.000000,0.021976,0.099287,0.045143
0005,QUICCI,0.500000,0.000000,0.018128,0.098561,0.045084
0005,QUICCI,1.000000,0.000000,0.018116,0.098509,0.045028
0005,QUICCI,1.500000,0.000000,0.018085,0.106785,0.044716
0005,QUICCI,2.000000,0.000000,0.018130,0.097593,0.045026
0005,QUICCI,5.000000,0.045164,0.018075,0.097609,0.045318
0005,QUICCI,10.000000,0.116950,0.018084,0.097686,0.044755
0005,QUICCI,50.000000,0.116950,0.018127,0.098063,0.044859
0005,SI,0.050000,0.000457,0.044960,0.101400,0.089611
0005,SI,0.100000,0.000296,0.043198,0.108176,0.089680
0005,SI,0.500000,0.000132,0.048778,0.112547,0.086871
0005,SI,1.000000,0.000111,0.054433,0.122088,0.085861
0005,SI,1.500000,0.000103,0.053819,0.122812,0.084878
0005,SI,2.000000,0.000100,0.056107,0.123795,0.084712
0005,SI,5.000000,0.000087,0.050366,0.115654,0.084009
0005,SI,10.000000,0.000087,0.049720,0.114503,0.084842
0005,SI,50.000000,0.000080,0.049399,0.115135,0.084777
0005,3DSC,0.050000,0.004299,0.676237,0.331018,1.699226
0005,3DSC,0.100000,0.003548,0.396367,0.519881,1.612663
0005,3DSC,0.500000,0.116950,0.316021,0.118255,1.294145
0005,3DSC,1.000000,0.116950,0.315671,0.117594,1.314096
0005,3DSC,1.500000,0.116950,0.326433,0.117135,1.289331
0005,3DSC,2.000000,0.116950,0.316819,0.116720,1.305847
0005,3DSC,5.000000,0.116950,0.315556,0.116972,1.308895
0005,3DSC,10.000000,0.116950,0.322065,0.117028,1.312626
0005,3DSC,50.000000,0.116950,0.331519,0.126132,1.325559
0005,FPFH,0.050000,0.000142,1.883735,2.118879,0.045010
0005,FPFH,0.100000,0.000170,2.845116,3.194312,0.045640
0005,FPFH,0.500000,0.000131,2.972552,6.114315,0.045259
0005,FPFH,1.000000,0.000131,3.246656,6.363083,0.043600
0005,FPFH,1.500000,0.000131,3.131696,6.066638,0.043478
0005,FPFH,2.000000,0.000131,2.925703,5.921239,0.045347
0005,FPFH,5.000000,0.000131,3.029247,6.002824,0.044951
0005,FPFH,10.000000,0.000131,2.964548,6.195318,0.044642
0005,FPFH,50.000000,0.000131,3.138166,5.914423,0.045167
0006,RICI,0.050000,0.001780,0.034616,0.046406,0.150674
0006,RICI,0.100000,0.001757,0.034403,0.043882,0.151413
0006,RICI,0.500000,0.006374,0.034543,0.043325,0.116033
0006,RICI,1.000000,0.012495,0.034103,0.044724,0.114728
0006,RICI,1.500000,0.019382,0.034085,0.043246,0.113863
0006,RICI,2.000000,0.026123,0.034092,0.043239,0.113308
0006,RICI,5.000000,0.110088,0.034050,0.044611,0.113607
0006,RICI,10.000000,0.110088,0.034101,0.043129,0.113300
0006,RICI,50.000000,0.110088,0.034103,0.043538,0.113357
0006,QUICCI,0.050000,0.000000,0.036905,0.047067,0.066797
0006,QUICCI,0.100000,0.000000,0.038853,0.047004,0.067756
0006,QUICCI,0.500000,0.000000,0.037046,0.046960,0.066581
0006,QUICCI,1.000000,0.000000,0.036589,0.046257,0.066088
0006,QUICCI,1.500000,0.000113,0.036580,0.048149,0.065583
0006,QUICCI,2.000000,0.000225,0.036557,0.046509,0.065454
0006,QUICCI,5.000000,0.110088,0.036568,0.046447,0.065710
0006,QUICCI,10.000000,0.110088,0.036602,0.045871,0.065167
0006,QUICCI,50.000000,0.110088,0.036556,0.045888,0.065436
0006,SI,0.050000,0.000755,0.064479,0.070238,0.120296
0006,SI,0.100000,0.000387,0.065098,0.078259,0.120579
0006,SI,0.500000,0.000183,0.065615,0.089660,0.114664
0006,SI,1.000000,0.000167,0.065689,0.094890,0.113112
0006,SI,1.500000,0.000158,0.066740,0.097963,0.111584
0006,SI,2.000000,0.000157,0.066232,0.100625,0.111724
0006,SI,5.000000,0.000155,0.067523,0.102285,0.111066
0006,SI,10.000000,0.000153,0.066176,0.103294,0.111249
