dataset,object,descriptor,category,distanceFunction,similarity
OverlappingObjects,0062,SI,15.1-25.0,Pearson,0.667575
OverlappingObjects,0063,SI,15.1-25.0,Cosine,0.581223
OverlappingObjects,0063,SI,15.1-25.0,Pearson,0.642188
OverlappingObjects,0064,SI,15.1-25.0,Cosine,0.432270
OverlappingObjects,0064,SI,15.1-25.0,Pearson,0.722498
OverlappingObjects,0065,SI,15.1-25.0,Cosine,0.544276
OverlappingObjects,0065,SI,15.1-25.0,Pearson,0.670200
OverlappingObjects,0066,SI,15.1-25.0,Cosine,0.434271
OverlappingObjects,0066,SI,15.1-25.0,Pearson,0.720835
OverlappingObjects,0067,SI,15.1-25.0,Cosine,0.648077
OverlappingObjects,0067,SI,15.1-25.0,Pearson,0.619254
OverlappingObjects,0068,SI,15.1-25.0,Cosine,0.750111
OverlappingObjects,0068,SI,15.1-25.0,Pearson,0.580146
OverlappingObjects,0069,SI,15.1-25.0,Cosine,0.647703
OverlappingObjects,0069,SI,15.1-25.0,Pearson,0.619250
OverlappingObjects,0070,SI,15.1-25.0,Cosine,0.612469
OverlappingObjects,0070,SI,15.1-25.0,Pearson,0.636937
OverlappingObjects,0071,SI,15.1-25.0,Cosine,0.685578
OverlappingObjects,0071,SI,15.1-25.0,Pearson,0.609735
OverlappingObjects,0072,SI,15.1-25.0,Cosine,0.662879
OverlappingObjects,0072,SI,15.1-25.0,Pearson,0.612545
OverlappingObjects,0073,SI,15.1-25.0,Cosine,0.469769
OverlappingObjects,0073,SI,15.1-25.0,Pearson,0.696900
OverlappingObjects,0074,SI,15.1-25.0,Cosine,0.465213
OverlappingObjects,0074,SI,15.1-25.0,Pearson,0.698244
OverlappingObjects,0075,SI,15.1-25.0,Cosine,0.311505
OverlappingObjects,0075,SI,15.1-25.0,Pearson,0.784145
OverlappingObjects,0076,SI,15.1-25.0,Cosine,0.766055
OverlappingObjects,0076,SI,15.1-25.0,Pearson,0.572355
OverlappingObjects,0077,SI,15.1-25.0,Cosine,0.723146
OverlappingObjects,0077,SI,15.1-25.0,Pearson,0.589270
OverlappingObjects,0078,SI,15.1-25.0,Cosine,0.727061
OverlappingObjects,0078,SI,15.1-25.0,Pearson,0.587647
OverlappingObjects,0079,SI,15.1-25.0,Cosine,0.736294
OverlappingObjects,0079,SI,15.1-25.0,Pearson,0.583799
OverlappingObjects,0080,SI,15.1-25.0,Cosine,0.666699
OverlappingObjects,0080,SI,15.1-25.0,Pearson,0.611485
OverlappingObjects,0081,SI,15.1-25.0,Cosine,0.749382
OverlappingObjects,0081,SI,15.1-25.0,Pearson,0.579809
OverlappingObjects,0082,SI,15.1-25.0,Cosine,0.731472
OverlappingObjects,0082,SI,15.1-25.0,Pearson,0.585574
OverlappingObjects,0083,SI,15.1-25.0,Cosine,0.701563
OverlappingObjects,0083,SI,15.1-25.0,Pearson,0.597889
OverlappingObjects,0084,SI,15.1-25.0,Cosine,0.675573
OverlappingObjects,0084,SI,15.1-25.0,Pearson,0.605342
OverlappingObjects,0085,SI,15.1-25.0,Cosine,0.626867
OverlappingObjects,0085,SI,15.1-25.0,Pearson,0.623610
OverlappingObjects,0086,SI,15.1-25.0,Cosine,0.690396
OverlappingObjects,0086,SI,15.1-25.0,Pearson,0.603034
OverlappingObjects,0087,SI,15.1-25.0,Cosine,0.593085
OverlappingObjects,0087,SI,15.1-25.0,Pearson,0.637795
OverlappingObjects,0088,SI,15.1-25.0,Cosine,0.733268
OverlappingObjects,0088,SI,15.1-25.0,Pearson,0.584344
OverlappingObjects,0089,SI,15.1-25.0,Cosine,0.693585
OverlappingObjects,0089,SI,15.1-25.0,Pearson,0.600717
OverlappingObjects,0090,SI,15.1-25.0,Cosine,0.552194
OverlappingObjects,0090,SI,15.1-25.0,Pearson,0.663865
OverlappingObjects,0091,SI,15.1-25.0,Cosine,0.721976
OverlappingObjects,0091,SI,15.1-25.0,Pearson,0.590599
OverlappingObjects,0092,SI,15.1-25.0,Cosine,0.675628
OverlappingObjects,0092,SI,15.1-25.0,Pearson,0.607690
OverlappingObjects,0093,SI,15.1-25.0,Cosine,0.556279
OverlappingObjects,0093,SI,15.1-25.0,Pearson,0.661383
OverlappingObjects,0094,SI,15.1-25.0,Cosine,0.639636
OverlappingObjects,0094,SI,15.1-25.0,Pearson,0.630048
OverlappingObjects,0095,SI,15.1-25.0,Cosine,0.529227
OverlappingObjects,0095,SI,15.1-25.0,Pearson,0.667538
OverlappingObjects,0096,SI,15.1-25.0,Cosine,0.616851
OverlappingObjects,0096,SI,15.1-25.0,Pearson,0.633675
OverlappingObjects,0097,SI,15.1-25.0,Cosine,0.634436
OverlappingObjects,0097,SI,15.1-25.0,Pearson,0.624518
OverlappingObjects,0098,SI,15.1-25.0,Cosine,0.619800
OverlappingObjects,0098,SI,15.1-25.0,Pearson,0.627534
OverlappingObjects,0099,SI,15.1-25.0,Cosine,0.683592
OverlappingObjects,0099,SI,15.1-25.0,Pearson,0.603885
OverlappingObjects,0100,SI,15.1-25.0,Cosine,0.483829
OverlappingObjects,0100,SI,15.1-25.0,Pearson,0.697023
OverlappingObjects,0101,SI,15.1-25.0,Cosine,0.365912
OverlappingObjects,0101,SI,15.1-25.0,Pearson,0.755113
OverlappingObjects,0102,SI,15.1-25.0,Cosine,0.729044
OverlappingObjects,0102,SI,15.1-25.0,Pearson,0.586262
OverlappingObjects,0103,SI,15.1-25.0,Cosine,0.467990
OverlappingObjects,0103,SI,15.1-25.0,Pearson,0.703190
OverlappingObjects,0104,SI,15.1-25.0,Cosine,0.424303
OverlappingObjects,0104,SI,15.1-25.0,Pearson,0.716834
OverlappingObjects,0105,SI,15.1-25.0,Cosine,0.696323
OverlappingObjects,0105,SI,15.1-25.0,Pearson,0.597984
OverlappingObjects,0106,SI,15.1-25.0,Cosine,0.614342
OverlappingObjects,0106,SI,15.1-25.0,Pearson,0.635033
OverlappingObjects,0107,SI,15.1-25.0,Cosine,0.667683
OverlappingObjects,0107,SI,15.1-25.0,Pearson,0.612378
OverlappingObjects,0108,SI,15.1-25.0,Cosine,0.684011
OverlappingObjects,0108,SI,15.1-25.0,Pearson,0.603430
OverlappingObjects,0109,SI,15.1-25.0,Cosine,0.483694
OverlappingObjects,0109,SI,15.1-25.0,Pearson,0.690858
OverlappingObjects,0110,SI,15.1-25.0,Cosine,0.751133
OverlappingObjects,0110,SI,15.1-25.0,Pearson,0.577218
OverlappingObjects,0111,SI,15.1-25.0,Cosine,0.615536
OverlappingObjects,0111,SI,15.1-25.0,Pearson,0.634986
OverlappingObjects,0112,SI,15.1-25.0,Cosine,0.737353
OverlappingObjects,0112,SI,15.1-25.0,Pearson,0.582463
OverlappingObjects,0113,SI,15.1-25.0,Cosine,0.729061
OverlappingObjects,0113,SI,15.1-25.0,Pearson,0.586242
OverlappingObjects,0114,SI,15.1-25.0,Cosine,0.670969
OverlappingObjects,0114,SI,15.1-25.0,Pearson,0.607454
OverlappingObjects,0115,SI,15.1-25.0,Cosine,0.531448
OverlappingObjects,0115,SI,15.1-25.0,Pearson,0.675309
OverlappingObjects,0116,SI,15.1-25.0,Cosine,0.455636
OverlappingObjects,0116,SI,15.1-25.0,Pearson,0.695378
OverlappingObjects,0117,SI,15.1-25.0,Cosine,0.595327
OverlappingObjects,0117,SI,15.1-25.0,Pearson,0.641087
OverlappingObjects,0118,SI,15.1-25.0,Cosine,0.544563
OverlappingObjects,0118,SI,15.1-25.0,Pearson,0.666832
OverlappingObjects,0119,SI,15.1-25.0,Cosine,0.117359
OverlappingObjects,0119,SI,15.1-25.0,Pearson,0.908206
OverlappingObjects,0120,SI,15.1-25.0,Cosine,0.718969
OverlappingObjects,0120,SI,15.1-25.0,Pearson,0.593703
