dataset,object,descriptor,category,distanceFunction,time,similarity
GoogleDataset,0018,SI,0-100,Euclidian,0.325351889,0.9997263601039662
GoogleDataset,0019,3DSC,0-100,Cosine,0.455347924,0.8284365162644282
GoogleDataset,0019,3DSC,0-100,Euclidian,0.252822803,1.0
GoogleDataset,0019,FPFH,0-100,Cosine,0.012748233,1.0
GoogleDataset,0019,FPFH,0-100,Euclidian,0.009346739,1.0
GoogleDataset,0019,QUICCI,0-100,Cosine,0.013902964,1.0
GoogleDataset,0019,QUICCI,0-100,Euclidian,0.009586184,1.0
GoogleDataset,0019,RICI,0-100,Cosine,0.256186787,1.0
GoogleDataset,0019,RICI,0-100,Euclidian,0.14507826,1.0
GoogleDataset,0019,SI,0-100,Cosine,0.220704067,0.9824239244490611
GoogleDataset,0019,SI,0-100,Euclidian,0.137516569,0.9986612445733194
GoogleDataset,0020,3DSC,0-100,Cosine,0.801390534,0.000588235294117647
GoogleDataset,0020,3DSC,0-100,Euclidian,0.446262673,1.0
GoogleDataset,0020,FPFH,0-100,Cosine,0.023418405,1.0
GoogleDataset,0020,FPFH,0-100,Euclidian,0.016346925,1.0
GoogleDataset,0020,QUICCI,0-100,Cosine,0.024122275,1.0
GoogleDataset,0020,QUICCI,0-100,Euclidian,0.017554354,1.0
GoogleDataset,0020,RICI,0-100,Cosine,0.448241957,1.0
GoogleDataset,0020,RICI,0-100,Euclidian,0.254288909,1.0
GoogleDataset,0020,SI,0-100,Cosine,0.390648124,0.9992647058823027
GoogleDataset,0020,SI,0-100,Euclidian,0.244247323,0.9970532588589948
GoogleDataset,0021,3DSC,0-100,Cosine,0.531221668,0.0
GoogleDataset,0021,3DSC,0-100,Euclidian,0.297518815,1.0
GoogleDataset,0021,FPFH,0-100,Cosine,0.014780863,1.0
GoogleDataset,0021,FPFH,0-100,Euclidian,0.010927703,1.0
GoogleDataset,0021,QUICCI,0-100,Cosine,0.016238306,1.0
GoogleDataset,0021,QUICCI,0-100,Euclidian,0.011225223,1.0
GoogleDataset,0021,RICI,0-100,Cosine,0.294105827,1.0
GoogleDataset,0021,RICI,0-100,Euclidian,0.168974631,1.0
GoogleDataset,0021,SI,0-100,Cosine,0.257906948,0.9979793444094516
GoogleDataset,0021,SI,0-100,Euclidian,0.160611189,0.9971942291454361
GoogleDataset,0022,3DSC,0-100,Cosine,2.197016212,0.9999999999999999
GoogleDataset,0022,3DSC,0-100,Euclidian,1.224535289,0.9999997930898052
GoogleDataset,0022,FPFH,0-100,Cosine,0.06080059,1.0
GoogleDataset,0022,FPFH,0-100,Euclidian,0.044307227,1.0
GoogleDataset,0022,QUICCI,0-100,Cosine,0.065600134,1.0
GoogleDataset,0022,QUICCI,0-100,Euclidian,0.045702155,1.0
GoogleDataset,0022,RICI,0-100,Cosine,1.239633366,1.0
GoogleDataset,0022,RICI,0-100,Euclidian,0.693895595,1.0
GoogleDataset,0022,SI,0-100,Cosine,1.079475046,0.9999999999999999
GoogleDataset,0022,SI,0-100,Euclidian,0.664906983,0.9998604736333677
GoogleDataset,0023,3DSC,0-100,Cosine,3.988164013,0.8250617358308739
GoogleDataset,0023,3DSC,0-100,Euclidian,2.19371233,1.0
GoogleDataset,0023,FPFH,0-100,Cosine,0.109476929,1.0
GoogleDataset,0023,FPFH,0-100,Euclidian,0.080842282,1.0
GoogleDataset,0023,QUICCI,0-100,Cosine,0.12918864,1.0
GoogleDataset,0023,QUICCI,0-100,Euclidian,0.087877781,1.0
GoogleDataset,0023,RICI,0-100,Cosine,2.234097141,1.0
GoogleDataset,0023,RICI,0-100,Euclidian,1.251310929,1.0
GoogleDataset,0023,SI,0-100,Cosine,1.956370538,0.9999999999999999
GoogleDataset,0023,SI,0-100,Euclidian,1.21971827,0.9999637834473598
GoogleDataset,0024,3DSC,0-100,Cosine,4.368524233,0.7973215255894817
GoogleDataset,0024,3DSC,0-100,Euclidian,2.417675797,1.0
GoogleDataset,0024,FPFH,0-100,Cosine,0.122398116,1.0
GoogleDataset,0024,FPFH,0-100,Euclidian,0.089986699,1.0
GoogleDataset,0024,QUICCI,0-100,Cosine,0.133270791,1.0
GoogleDataset,0024,QUICCI,0-100,Euclidian,0.092621901,1.0
GoogleDataset,0024,RICI,0-100,Cosine,2.478494134,1.0
GoogleDataset,0024,RICI,0-100,Euclidian,1.388927278,1.0
GoogleDataset,0024,SI,0-100,Cosine,2.144926327,0.9999999999999999
GoogleDataset,0024,SI,0-100,Euclidian,1.342213184,0.9999695145798305
GoogleDataset,0025,3DSC,0-100,Cosine,0.217958798,0.9999999999999843
GoogleDataset,0025,3DSC,0-100,Euclidian,0.121239844,0.9999991201969316
GoogleDataset,0025,FPFH,0-100,Cosine,0.006446043,1.0
GoogleDataset,0025,FPFH,0-100,Euclidian,0.004438273,1.0
GoogleDataset,0025,QUICCI,0-100,Cosine,0.006989903,1.0
GoogleDataset,0025,QUICCI,0-100,Euclidian,0.004836284,1.0
GoogleDataset,0025,RICI,0-100,Cosine,0.12558943,1.0
GoogleDataset,0025,RICI,0-100,Euclidian,0.070888365,1.0
GoogleDataset,0025,SI,0-100,Cosine,0.107455549,0.9884488448844561
GoogleDataset,0025,SI,0-100,Euclidian,0.067632539,0.9988359352178657
GoogleDataset,0026,3DSC,0-100,Cosine,0.748076463,0.0
GoogleDataset,0026,3DSC,0-100,Euclidian,0.418779872,1.0
GoogleDataset,0026,FPFH,0-100,Cosine,0.021123672,1.0
GoogleDataset,0026,FPFH,0-100,Euclidian,0.01530622,1.0
GoogleDataset,0026,QUICCI,0-100,Cosine,0.02291313,0.9996857322438718
GoogleDataset,0026,QUICCI,0-100,Euclidian,0.016101435,1.0
GoogleDataset,0026,RICI,0-100,Cosine,0.421219698,0.9996857322438718
GoogleDataset,0026,RICI,0-100,Euclidian,0.236835502,1.0
GoogleDataset,0026,SI,0-100,Cosine,0.364415146,0.9996857322438474
GoogleDataset,0026,SI,0-100,Euclidian,0.225711475,0.9987240748734901
GoogleDataset,0027,3DSC,0-100,Cosine,2.709103767,0.0
GoogleDataset,0027,3DSC,0-100,Euclidian,1.506925374,1.0
GoogleDataset,0027,FPFH,0-100,Cosine,0.075204477,1.0
GoogleDataset,0027,FPFH,0-100,Euclidian,0.055597874,1.0
GoogleDataset,0027,QUICCI,0-100,Cosine,0.080382957,1.0
GoogleDataset,0027,QUICCI,0-100,Euclidian,0.056581035,1.0
GoogleDataset,0027,RICI,0-100,Cosine,1.502854806,1.0
GoogleDataset,0027,RICI,0-100,Euclidian,0.862311506,1.0
GoogleDataset,0027,SI,0-100,Cosine,1.314282524,0.9999999999999998
GoogleDataset,0027,SI,0-100,Euclidian,0.820749734,0.9999425383215692
GoogleDataset,0028,3DSC,0-100,Cosine,2.764280937,0.521277816012847
GoogleDataset,0028,3DSC,0-100,Euclidian,1.538257936,1.0
GoogleDataset,0028,FPFH,0-100,Cosine,0.077963338,1.0
GoogleDataset,0028,FPFH,0-100,Euclidian,0.057439154,1.0
GoogleDataset,0028,QUICCI,0-100,Cosine,0.084002319,1.0
GoogleDataset,0028,QUICCI,0-100,Euclidian,0.058244683,1.0
