dataset,object,descriptor,category,distanceFunction,similarity,time
OverlappingObjects,0058,SI,15.1-25.0,Cosine,0.478208,0.000534
OverlappingObjects,0058,SI,15.1-25.0,Pearson,0.475520,0.000223
OverlappingObjects,0059,SI,15.1-25.0,Cosine,0.683658,0.000487
OverlappingObjects,0059,SI,15.1-25.0,Pearson,0.682342,0.000222
OverlappingObjects,0060,SI,15.1-25.0,Cosine,0.413185,0.000540
OverlappingObjects,0060,SI,15.1-25.0,Pearson,0.409892,0.000237
OverlappingObjects,0061,SI,15.1-25.0,Cosine,0.237434,0.000635
OverlappingObjects,0061,SI,15.1-25.0,Pearson,0.230537,0.000239
OverlappingObjects,0062,SI,15.1-25.0,Cosine,0.521029,0.000440
OverlappingObjects,0062,SI,15.1-25.0,Pearson,0.518560,0.000225
OverlappingObjects,0063,SI,15.1-25.0,Cosine,0.580925,0.000492
OverlappingObjects,0063,SI,15.1-25.0,Pearson,0.579013,0.000218
OverlappingObjects,0064,SI,15.1-25.0,Cosine,0.431823,0.000440
OverlappingObjects,0064,SI,15.1-25.0,Pearson,0.428446,0.000206
OverlappingObjects,0065,SI,15.1-25.0,Cosine,0.544218,0.002406
OverlappingObjects,0065,SI,15.1-25.0,Pearson,0.536642,0.000513
OverlappingObjects,0066,SI,15.1-25.0,Cosine,0.434210,0.002470
OverlappingObjects,0066,SI,15.1-25.0,Pearson,0.425180,0.000502
OverlappingObjects,0067,SI,15.1-25.0,Cosine,0.647912,0.000727
OverlappingObjects,0067,SI,15.1-25.0,Pearson,0.645586,0.000258
OverlappingObjects,0068,SI,15.1-25.0,Cosine,0.749982,0.000829
OverlappingObjects,0068,SI,15.1-25.0,Pearson,0.749068,0.000295
OverlappingObjects,0069,SI,15.1-25.0,Cosine,0.647578,0.000889
OverlappingObjects,0069,SI,15.1-25.0,Pearson,0.645272,0.000311
OverlappingObjects,0070,SI,15.1-25.0,Cosine,0.611818,0.000293
OverlappingObjects,0070,SI,15.1-25.0,Pearson,0.609990,0.000183
OverlappingObjects,0071,SI,15.1-25.0,Cosine,0.685362,0.000526
OverlappingObjects,0071,SI,15.1-25.0,Pearson,0.684376,0.000311
OverlappingObjects,0072,SI,15.1-25.0,Cosine,0.662813,0.001525
OverlappingObjects,0072,SI,15.1-25.0,Pearson,0.659661,0.000439
OverlappingObjects,0073,SI,15.1-25.0,Cosine,0.469597,0.000761
OverlappingObjects,0073,SI,15.1-25.0,Pearson,0.467138,0.000315
OverlappingObjects,0074,SI,15.1-25.0,Cosine,0.465072,0.000974
OverlappingObjects,0074,SI,15.1-25.0,Pearson,0.459879,0.000334
OverlappingObjects,0075,SI,15.1-25.0,Cosine,0.310316,0.000286
OverlappingObjects,0075,SI,15.1-25.0,Pearson,0.305159,0.000171
OverlappingObjects,0076,SI,15.1-25.0,Cosine,0.766011,0.001757
OverlappingObjects,0076,SI,15.1-25.0,Pearson,0.764306,0.000582
OverlappingObjects,0077,SI,15.1-25.0,Cosine,0.723084,0.001612
OverlappingObjects,0077,SI,15.1-25.0,Pearson,0.720250,0.000446
OverlappingObjects,0078,SI,15.1-25.0,Cosine,0.726960,0.000927
OverlappingObjects,0078,SI,15.1-25.0,Pearson,0.724966,0.000335
OverlappingObjects,0079,SI,15.1-25.0,Cosine,0.736246,0.001687
OverlappingObjects,0079,SI,15.1-25.0,Pearson,0.734065,0.000546
OverlappingObjects,0080,SI,15.1-25.0,Cosine,0.666632,0.001482
OverlappingObjects,0080,SI,15.1-25.0,Pearson,0.663600,0.000439
OverlappingObjects,0081,SI,15.1-25.0,Cosine,0.749307,0.001151
OverlappingObjects,0081,SI,15.1-25.0,Pearson,0.747550,0.000475
OverlappingObjects,0082,SI,15.1-25.0,Cosine,0.731401,0.001272
OverlappingObjects,0082,SI,15.1-25.0,Pearson,0.729036,0.000425
OverlappingObjects,0083,SI,15.1-25.0,Cosine,0.701526,0.002664
OverlappingObjects,0083,SI,15.1-25.0,Pearson,0.698113,0.000658
OverlappingObjects,0084,SI,15.1-25.0,Cosine,0.675531,0.002108
OverlappingObjects,0084,SI,15.1-25.0,Pearson,0.672534,0.000627
OverlappingObjects,0085,SI,15.1-25.0,Cosine,0.626790,0.001323
OverlappingObjects,0085,SI,15.1-25.0,Pearson,0.623483,0.000405
OverlappingObjects,0086,SI,15.1-25.0,Cosine,0.690318,0.001317
OverlappingObjects,0086,SI,15.1-25.0,Pearson,0.687389,0.000413
OverlappingObjects,0087,SI,15.1-25.0,Cosine,0.592547,0.000421
OverlappingObjects,0087,SI,15.1-25.0,Pearson,0.590712,0.000195
OverlappingObjects,0088,SI,15.1-25.0,Cosine,0.733205,0.001375
OverlappingObjects,0088,SI,15.1-25.0,Pearson,0.730888,0.000443
OverlappingObjects,0089,SI,15.1-25.0,Cosine,0.693530,0.001890
OverlappingObjects,0089,SI,15.1-25.0,Pearson,0.689470,0.000523
OverlappingObjects,0090,SI,15.1-25.0,Cosine,0.551637,0.000402
OverlappingObjects,0090,SI,15.1-25.0,Pearson,0.547545,0.000202
OverlappingObjects,0091,SI,15.1-25.0,Cosine,0.721931,0.001769
OverlappingObjects,0091,SI,15.1-25.0,Pearson,0.719932,0.000598
OverlappingObjects,0092,SI,15.1-25.0,Cosine,0.675539,0.001304
OverlappingObjects,0092,SI,15.1-25.0,Pearson,0.671841,0.000386
OverlappingObjects,0093,SI,15.1-25.0,Cosine,0.556084,0.000606
OverlappingObjects,0093,SI,15.1-25.0,Pearson,0.554277,0.000266
OverlappingObjects,0094,SI,15.1-25.0,Cosine,0.639464,0.000623
OverlappingObjects,0094,SI,15.1-25.0,Pearson,0.638122,0.000256
OverlappingObjects,0095,SI,15.1-25.0,Cosine,0.529100,0.000973
OverlappingObjects,0095,SI,15.1-25.0,Pearson,0.525557,0.000304
OverlappingObjects,0096,SI,15.1-25.0,Cosine,0.616707,0.000801
OverlappingObjects,0096,SI,15.1-25.0,Pearson,0.614201,0.000290
OverlappingObjects,0097,SI,15.1-25.0,Cosine,0.634121,0.000463
OverlappingObjects,0097,SI,15.1-25.0,Pearson,0.631644,0.000210
OverlappingObjects,0098,SI,15.1-25.0,Cosine,0.619737,0.001517
OverlappingObjects,0098,SI,15.1-25.0,Pearson,0.616821,0.000460
OverlappingObjects,0099,SI,15.1-25.0,Cosine,0.683529,0.001420
OverlappingObjects,0099,SI,15.1-25.0,Pearson,0.681172,0.000505
OverlappingObjects,0100,SI,15.1-25.0,Cosine,0.483510,0.000486
OverlappingObjects,0100,SI,15.1-25.0,Pearson,0.481044,0.000243
OverlappingObjects,0101,SI,15.1-25.0,Cosine,0.365567,0.000530
OverlappingObjects,0101,SI,15.1-25.0,Pearson,0.362171,0.000212
OverlappingObjects,0102,SI,15.1-25.0,Cosine,0.728990,0.001644
OverlappingObjects,0102,SI,15.1-25.0,Pearson,0.726729,0.000493
OverlappingObjects,0103,SI,15.1-25.0,Cosine,0.467616,0.000492
OverlappingObjects,0103,SI,15.1-25.0,Pearson,0.461191,0.000209
OverlappingObjects,0104,SI,15.1-25.0,Cosine,0.424130,0.000720
OverlappingObjects,0104,SI,15.1-25.0,Pearson,0.421696,0.000281
OverlappingObjects,0105,SI,15.1-25.0,Cosine,0.696259,0.001528
OverlappingObjects,0105,SI,15.1-25.0,Pearson,0.693376,0.000434
OverlappingObjects,0106,SI,15.1-25.0,Cosine,0.614070,0.000480
OverlappingObjects,0106,SI,15.1-25.0,Pearson,0.612310,0.000224
OverlappingObjects,0107,SI,15.1-25.0,Cosine,0.667578,0.001017
