dataset,object,descriptor,category,time
RandomVertexDisplacedObjectsDataset,0023,3DSC,0.0001,0.767516848
RandomVertexDisplacedObjectsDataset,0023,FPFH,0.0001,4.296488658
RandomVertexDisplacedObjectsDataset,0023,QUICCI,0.0001,0.088172803
RandomVertexDisplacedObjectsDataset,0023,RICI,0.0001,0.086416836
RandomVertexDisplacedObjectsDataset,0023,SI,0.0001,0.527244232
RandomVertexDisplacedObjectsDataset,0024,3DSC,0.0001,0.713333458
RandomVertexDisplacedObjectsDataset,0024,FPFH,0.0001,3.865773441
RandomVertexDisplacedObjectsDataset,0024,QUICCI,0.0001,0.091782249
RandomVertexDisplacedObjectsDataset,0024,RICI,0.0001,0.089555922
RandomVertexDisplacedObjectsDataset,0024,SI,0.0001,0.426644002
RandomVertexDisplacedObjectsDataset,0025,3DSC,0.0001,0.406266264
RandomVertexDisplacedObjectsDataset,0025,FPFH,0.0001,4.780322338
RandomVertexDisplacedObjectsDataset,0025,QUICCI,0.0001,0.010418759
RandomVertexDisplacedObjectsDataset,0025,RICI,0.0001,0.009895989
RandomVertexDisplacedObjectsDataset,0025,SI,0.0001,0.073711439
RandomVertexDisplacedObjectsDataset,0026,3DSC,0.0001,0.739570728
RandomVertexDisplacedObjectsDataset,0026,FPFH,0.0001,2.560504872
RandomVertexDisplacedObjectsDataset,0026,QUICCI,0.0001,0.009392359
RandomVertexDisplacedObjectsDataset,0026,RICI,0.0001,0.00932005
RandomVertexDisplacedObjectsDataset,0026,SI,0.0001,0.022113956
RandomVertexDisplacedObjectsDataset,0027,3DSC,0.0001,0.765696031
RandomVertexDisplacedObjectsDataset,0027,FPFH,0.0001,2.309661467
RandomVertexDisplacedObjectsDataset,0027,QUICCI,0.0001,0.01827457
RandomVertexDisplacedObjectsDataset,0027,RICI,0.0001,0.018225281
RandomVertexDisplacedObjectsDataset,0027,SI,0.0001,0.024570753
RandomVertexDisplacedObjectsDataset,0028,3DSC,0.0001,1.321817581
RandomVertexDisplacedObjectsDataset,0028,FPFH,0.0001,2.071770058
RandomVertexDisplacedObjectsDataset,0028,QUICCI,0.0001,0.009998739
RandomVertexDisplacedObjectsDataset,0028,RICI,0.0001,0.005157025
RandomVertexDisplacedObjectsDataset,0028,SI,0.0001,0.047914727
RandomVertexDisplacedObjectsDataset,0029,3DSC,0.0001,1.229396662
RandomVertexDisplacedObjectsDataset,0029,FPFH,0.0001,2.475421615
RandomVertexDisplacedObjectsDataset,0029,QUICCI,0.0001,0.016100962
RandomVertexDisplacedObjectsDataset,0029,RICI,0.0001,0.013073836
RandomVertexDisplacedObjectsDataset,0029,SI,0.0001,0.114623225
RandomVertexDisplacedObjectsDataset,0030,3DSC,0.0001,0.690837102
RandomVertexDisplacedObjectsDataset,0030,FPFH,0.0001,3.065073059
RandomVertexDisplacedObjectsDataset,0030,QUICCI,0.0001,0.009829369
RandomVertexDisplacedObjectsDataset,0030,RICI,0.0001,0.009706119
RandomVertexDisplacedObjectsDataset,0030,SI,0.0001,0.046761459
RandomVertexDisplacedObjectsDataset,0031,3DSC,0.0001,0.87515535
RandomVertexDisplacedObjectsDataset,0031,FPFH,0.0001,1.031806358
RandomVertexDisplacedObjectsDataset,0031,QUICCI,0.0001,0.019066929
RandomVertexDisplacedObjectsDataset,0031,RICI,0.0001,0.010091689
RandomVertexDisplacedObjectsDataset,0031,SI,0.0001,0.092297319
RandomVertexDisplacedObjectsDataset,0032,3DSC,0.0001,0.577570447
RandomVertexDisplacedObjectsDataset,0032,FPFH,0.0001,3.773154012
RandomVertexDisplacedObjectsDataset,0032,QUICCI,0.0001,0.012862206
RandomVertexDisplacedObjectsDataset,0032,RICI,0.0001,0.012665576
RandomVertexDisplacedObjectsDataset,0032,SI,0.0001,0.151799803
RandomVertexDisplacedObjectsDataset,0033,3DSC,0.0001,0.409000651
RandomVertexDisplacedObjectsDataset,0033,FPFH,0.0001,3.374872838
RandomVertexDisplacedObjectsDataset,0033,QUICCI,0.0001,0.003521906
RandomVertexDisplacedObjectsDataset,0033,RICI,0.0001,0.012393037
RandomVertexDisplacedObjectsDataset,0033,SI,0.0001,0.052321512
RandomVertexDisplacedObjectsDataset,0034,3DSC,0.0001,0.883957841
RandomVertexDisplacedObjectsDataset,0034,FPFH,0.0001,1.930910662
RandomVertexDisplacedObjectsDataset,0034,QUICCI,0.0001,0.005016204
RandomVertexDisplacedObjectsDataset,0034,RICI,0.0001,0.004724175
RandomVertexDisplacedObjectsDataset,0034,SI,0.0001,0.064657619
RandomVertexDisplacedObjectsDataset,0035,3DSC,0.0001,1.782819785
RandomVertexDisplacedObjectsDataset,0035,FPFH,0.0001,2.450223842
RandomVertexDisplacedObjectsDataset,0035,QUICCI,0.0001,0.01860269
RandomVertexDisplacedObjectsDataset,0035,RICI,0.0001,0.017410871
RandomVertexDisplacedObjectsDataset,0035,SI,0.0001,0.067528386
RandomVertexDisplacedObjectsDataset,0036,3DSC,0.0001,1.448064802
RandomVertexDisplacedObjectsDataset,0036,FPFH,0.0001,2.705629932
RandomVertexDisplacedObjectsDataset,0036,QUICCI,0.0001,0.016116722
RandomVertexDisplacedObjectsDataset,0036,RICI,0.0001,0.004375355
RandomVertexDisplacedObjectsDataset,0036,SI,0.0001,0.097016633
RandomVertexDisplacedObjectsDataset,0037,3DSC,0.0001,0.295597596
RandomVertexDisplacedObjectsDataset,0037,FPFH,0.0001,2.188699789
RandomVertexDisplacedObjectsDataset,0037,QUICCI,0.0001,0.000820759
RandomVertexDisplacedObjectsDataset,0037,RICI,0.0001,0.000782019
RandomVertexDisplacedObjectsDataset,0037,SI,0.0001,0.022721335
RandomVertexDisplacedObjectsDataset,0038,3DSC,0.0001,0.657157649
RandomVertexDisplacedObjectsDataset,0038,FPFH,0.0001,3.164799819
RandomVertexDisplacedObjectsDataset,0038,QUICCI,0.0001,0.012832176
RandomVertexDisplacedObjectsDataset,0038,RICI,0.0001,0.012434966
RandomVertexDisplacedObjectsDataset,0038,SI,0.0001,0.102149377
RandomVertexDisplacedObjectsDataset,0039,3DSC,0.0001,0.350092946
RandomVertexDisplacedObjectsDataset,0039,FPFH,0.0001,2.516840339
RandomVertexDisplacedObjectsDataset,0039,QUICCI,0.0001,0.00955988
RandomVertexDisplacedObjectsDataset,0039,RICI,0.0001,0.026097871
RandomVertexDisplacedObjectsDataset,0039,SI,0.0001,0.063369441
RandomVertexDisplacedObjectsDataset,0040,3DSC,0.0001,2.000421627
RandomVertexDisplacedObjectsDataset,0040,FPFH,0.0001,4.575325792
RandomVertexDisplacedObjectsDataset,0040,QUICCI,0.0001,0.080173532
RandomVertexDisplacedObjectsDataset,0040,RICI,0.0001,0.08175949
RandomVertexDisplacedObjectsDataset,0040,SI,0.0001,0.344256293
RandomVertexDisplacedObjectsDataset,0041,3DSC,0.0001,2.245462627
RandomVertexDisplacedObjectsDataset,0041,FPFH,0.0001,2.467686534
RandomVertexDisplacedObjectsDataset,0041,QUICCI,0.0001,0.067794336
RandomVertexDisplacedObjectsDataset,0041,RICI,0.0001,0.053650461
RandomVertexDisplacedObjectsDataset,0041,SI,0.0001,0.371877582
RandomVertexDisplacedObjectsDataset,0042,3DSC,0.0001,2.386412433
RandomVertexDisplacedObjectsDataset,0042,FPFH,0.0001,5.701519177
RandomVertexDisplacedObjectsDataset,0042,QUICCI,0.0001,0.099068371
RandomVertexDisplacedObjectsDataset,0042,RICI,0.0001,0.133125904
RandomVertexDisplacedObjectsDataset,0042,SI,0.0001,0.281595501
RandomVertexDisplacedObjectsDataset,0043,3DSC,0.0001,1.698312337
RandomVertexDisplacedObjectsDataset,0043,FPFH,0.0001,4.013056849
RandomVertexDisplacedObjectsDataset,0043,QUICCI,0.0001,0.065711668
RandomVertexDisplacedObjectsDataset,0043,RICI,0.0001,0.05517759
RandomVertexDisplacedObjectsDataset,0043,SI,0.0001,0.368401186
RandomVertexDisplacedObjectsDataset,0044,3DSC,0.0001,2.264813627
RandomVertexDisplacedObjectsDataset,0044,FPFH,0.0001,2.543587801
RandomVertexDisplacedObjectsDataset,0044,QUICCI,0.0001,0.092922138
RandomVertexDisplacedObjectsDataset,0044,RICI,0.0001,0.088216043
RandomVertexDisplacedObjectsDataset,0044,SI,0.0001,0.432314556
RandomVertexDisplacedObjectsDataset,0045,3DSC,0.0001,2.219810135
RandomVertexDisplacedObjectsDataset,0045,FPFH,0.0001,1.798246358
RandomVertexDisplacedObjectsDataset,0045,QUICCI,0.0001,0.093259387
RandomVertexDisplacedObjectsDataset,0045,RICI,0.0001,0.091652079
RandomVertexDisplacedObjectsDataset,0045,SI,0.0001,0.42009572
RandomVertexDisplacedObjectsDataset,0046,3DSC,0.0001,2.035433978
RandomVertexDisplacedObjectsDataset,0046,FPFH,0.0001,5.064794005
RandomVertexDisplacedObjectsDataset,0046,QUICCI,0.0001,0.044200771
RandomVertexDisplacedObjectsDataset,0046,RICI,0.0001,0.066176738
RandomVertexDisplacedObjectsDataset,0046,SI,0.0001,0.350376866
RandomVertexDisplacedObjectsDataset,0047,3DSC,0.0001,2.244021159
RandomVertexDisplacedObjectsDataset,0047,FPFH,0.0001,4.463456225
RandomVertexDisplacedObjectsDataset,0047,QUICCI,0.0001,0.065181269
RandomVertexDisplacedObjectsDataset,0047,RICI,0.0001,0.043980412
RandomVertexDisplacedObjectsDataset,0047,SI,0.0001,0.387762305
RandomVertexDisplacedObjectsDataset,0048,3DSC,0.0001,1.411421212
RandomVertexDisplacedObjectsDataset,0048,FPFH,0.0001,3.797196736
RandomVertexDisplacedObjectsDataset,0048,QUICCI,0.0001,0.07277604
RandomVertexDisplacedObjectsDataset,0048,RICI,0.0001,0.069576753
RandomVertexDisplacedObjectsDataset,0048,SI,0.0001,0.377096686
RandomVertexDisplacedObjectsDataset,0049,3DSC,0.0001,0.677749317
RandomVertexDisplacedObjectsDataset,0049,FPFH,0.0001,5.184530404
RandomVertexDisplacedObjectsDataset,0049,QUICCI,0.0001,0.047973558
RandomVertexDisplacedObjectsDataset,0049,RICI,0.0001,0.048967277
RandomVertexDisplacedObjectsDataset,0049,SI,0.0001,0.266786067
RandomVertexDisplacedObjectsDataset,0050,3DSC,0.0001,1.811494443
RandomVertexDisplacedObjectsDataset,0050,FPFH,0.0001,1.244605245
