dataset,object,descriptor,category,time
OverlappingObjects,0026,QUICCI,15.1-25.0,0.001001159
OverlappingObjects,0026,RICI,15.1-25.0,0.000941609
OverlappingObjects,0026,SI,15.1-25.0,0.017780321
OverlappingObjects,0027,3DSC,15.1-25.0,0.302739388
OverlappingObjects,0027,FPFH,15.1-25.0,1.789195218
OverlappingObjects,0027,QUICCI,15.1-25.0,0.020916977
OverlappingObjects,0027,RICI,15.1-25.0,0.020058158
OverlappingObjects,0027,SI,15.1-25.0,0.077848965
OverlappingObjects,0028,3DSC,15.1-25.0,0.744957373
OverlappingObjects,0028,FPFH,15.1-25.0,3.547089699
OverlappingObjects,0028,QUICCI,15.1-25.0,0.17340869
OverlappingObjects,0028,RICI,15.1-25.0,0.169829833
OverlappingObjects,0028,SI,15.1-25.0,0.305766295
OverlappingObjects,0029,3DSC,15.1-25.0,0.378324785
OverlappingObjects,0029,FPFH,15.1-25.0,1.574057993
OverlappingObjects,0029,QUICCI,15.1-25.0,0.011390457
OverlappingObjects,0029,RICI,15.1-25.0,0.010884838
OverlappingObjects,0029,SI,15.1-25.0,0.092821828
OverlappingObjects,0030,3DSC,15.1-25.0,0.558870407
OverlappingObjects,0030,FPFH,15.1-25.0,2.000377066
OverlappingObjects,0030,QUICCI,15.1-25.0,0.029833398
OverlappingObjects,0030,RICI,15.1-25.0,0.029006698
OverlappingObjects,0030,SI,15.1-25.0,0.129625467
OverlappingObjects,0031,3DSC,15.1-25.0,0.317928111
OverlappingObjects,0031,FPFH,15.1-25.0,1.128990382
OverlappingObjects,0031,QUICCI,15.1-25.0,0.001651548
OverlappingObjects,0031,RICI,15.1-25.0,0.001516778
OverlappingObjects,0031,SI,15.1-25.0,0.021677006
OverlappingObjects,0032,3DSC,15.1-25.0,0.31840679
OverlappingObjects,0032,FPFH,15.1-25.0,1.353054177
OverlappingObjects,0032,QUICCI,15.1-25.0,0.005538004
OverlappingObjects,0032,RICI,15.1-25.0,0.005342374
OverlappingObjects,0032,SI,15.1-25.0,0.066098608
OverlappingObjects,0033,3DSC,15.1-25.0,0.422958216
OverlappingObjects,0033,FPFH,15.1-25.0,1.34984541
OverlappingObjects,0033,QUICCI,15.1-25.0,0.005751084
OverlappingObjects,0033,RICI,15.1-25.0,0.005550584
OverlappingObjects,0033,SI,15.1-25.0,0.05423042
OverlappingObjects,0034,3DSC,15.1-25.0,0.480787293
OverlappingObjects,0034,FPFH,15.1-25.0,1.793447133
OverlappingObjects,0034,QUICCI,15.1-25.0,0.021561066
OverlappingObjects,0034,RICI,15.1-25.0,0.020883337
OverlappingObjects,0034,SI,15.1-25.0,0.114339824
OverlappingObjects,0035,3DSC,15.1-25.0,0.405841995
OverlappingObjects,0035,FPFH,15.1-25.0,1.574613673
OverlappingObjects,0035,QUICCI,15.1-25.0,0.014243864
OverlappingObjects,0035,RICI,15.1-25.0,0.013854594
OverlappingObjects,0035,SI,15.1-25.0,0.097761053
OverlappingObjects,0036,3DSC,15.1-25.0,0.280687012
OverlappingObjects,0036,FPFH,15.1-25.0,1.350741559
OverlappingObjects,0036,QUICCI,15.1-25.0,0.006763033
OverlappingObjects,0036,RICI,15.1-25.0,0.006397453
OverlappingObjects,0036,SI,15.1-25.0,0.043286682
OverlappingObjects,0037,3DSC,15.1-25.0,0.371585233
OverlappingObjects,0037,FPFH,15.1-25.0,1.134240066
OverlappingObjects,0037,QUICCI,15.1-25.0,0.002733107
OverlappingObjects,0037,RICI,15.1-25.0,0.002834787
OverlappingObjects,0037,SI,15.1-25.0,0.034184052
OverlappingObjects,0038,3DSC,15.1-25.0,0.467041757
OverlappingObjects,0038,FPFH,15.1-25.0,1.892431235
OverlappingObjects,0038,QUICCI,15.1-25.0,0.027830339
OverlappingObjects,0038,RICI,15.1-25.0,0.026748791
OverlappingObjects,0038,SI,15.1-25.0,0.110883798
OverlappingObjects,0039,3DSC,15.1-25.0,0.71989116
OverlappingObjects,0039,FPFH,15.1-25.0,3.52853874
OverlappingObjects,0039,QUICCI,15.1-25.0,0.159957705
OverlappingObjects,0039,RICI,15.1-25.0,0.157807307
OverlappingObjects,0039,SI,15.1-25.0,0.243346794
